Training Starts
Iter 98 of 468 loss 0.7893, Img -0.0000,  Label 0.114884, Reg: 0.007803, SegX: 0.277502,SegY: 0.389068
Iter 99 of 468 loss 0.9198, Img -0.0000,  Label 0.169172, Reg: 0.008371, SegX: 0.245193,SegY: 0.497078
Iter 100 of 468 loss 1.2778, Img -0.0000,  Label 0.202104, Reg: 0.009390, SegX: 0.529478,SegY: 0.536845
Iter 101 of 468 loss 1.0124, Img -0.0000,  Label 0.142241, Reg: 0.008866, SegX: 0.377124,SegY: 0.484120
Iter 102 of 468 loss 1.2903, Img -0.0000,  Label 0.165746, Reg: 0.009758, SegX: 0.476946,SegY: 0.637854
Iter 103 of 468 loss 0.6639, Img -0.0000,  Label 0.128368, Reg: 0.009372, SegX: 0.200162,SegY: 0.326048
Iter 104 of 468 loss 0.7278, Img -0.0000,  Label 0.147112, Reg: 0.010633, SegX: 0.174364,SegY: 0.395703
Iter 105 of 468 loss 0.7528, Img -0.0000,  Label 0.082009, Reg: 0.011888, SegX: 0.278572,SegY: 0.380345
Iter 106 of 468 loss 0.8874, Img -0.0000,  Label 0.126828, Reg: 0.010697, SegX: 0.306141,SegY: 0.443704
Iter 107 of 468 loss 0.7265, Img -0.0000,  Label 0.102156, Reg: 0.012173, SegX: 0.255484,SegY: 0.356708
Iter 108 of 468 loss 0.6549, Img -0.0000,  Label 0.128693, Reg: 0.011654, SegX: 0.184716,SegY: 0.329804
Iter 109 of 468 loss 0.6945, Img -0.0000,  Label 0.111794, Reg: 0.011505, SegX: 0.269055,SegY: 0.302139
Iter 110 of 468 loss 0.7850, Img -0.0000,  Label 0.101934, Reg: 0.011629, SegX: 0.263916,SegY: 0.407557
Iter 111 of 468 loss 1.0598, Img -0.0000,  Label 0.343092, Reg: 0.010926, SegX: 0.275400,SegY: 0.430345
Iter 112 of 468 loss 0.8051, Img -0.0000,  Label 0.181175, Reg: 0.010721, SegX: 0.220088,SegY: 0.393148
